objectID,name,address,area,city,country,image_url,mobile_reserve_url,payment_options,phone,postal_code,price,reserve_url,state,_geoloc,food_type,stars_count,reviews_count,neighborhood,phone_number,price_range,dining_style
101422,Town,348 Main Street,Denver / Colorado,Carbondale,US,https://www.opentable.com/img/restimages/101422.jpg,http://mobile.opentable.com/opentable/?restId=101422,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",9709636328,81623,2,http://www.opentable.com/single.aspx?rid=101422,CO,"{""lat""=>39.400235, ""lng""=>-107.210373}",Contemporary American,4.6,180,Carbondale,(970) 963-6328,$30 and under,Casual Dining
113494,Plates Kitchen,301 Glenwood Ave,Raleigh / Durham / Chapel Hill,Raleigh,US,https://www.opentable.com/img/restimages/113494.jpg,http://mobile.opentable.com/opentable/?restId=113494,"[""AMEX"", ""Diners Club"", ""MasterCard"", ""Visa""]",9198280018x,27603,2,http://www.opentable.com/single.aspx?rid=113494,NC,"{""lat""=>35.784585, ""lng""=>-78.647982}",International,4.3,304,Raleigh,(919) 828-0018,$30 and under,Casual Elegant
152470,Pax Americana,4319 Montrose Blvd.,Houston,Houston,US,https://www.opentable.com/img/restimages/152470.jpg,http://mobile.opentable.com/opentable/?restId=152470,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",7132390228,77006,2,http://www.opentable.com/single.aspx?rid=152470,TX,"{""lat""=>29.733565, ""lng""=>-95.390868}",American,4.5,224,Midtown / Montrose,(713) 239-0228,$30 and under,Casual Elegant
145693,Vinotopia Restaurant and Bar,5724 West 136th Terrace,Kansas City,Overland Park,US,https://www.opentable.com/img/restimages/145693.jpg,http://mobile.opentable.com/opentable/?restId=145693,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",9134029300,66223,2,http://www.opentable.com/single.aspx?rid=145693,KS,"{""lat""=>38.882144, ""lng""=>-94.698596}",Contemporary American,3.4,72,Overland Park,(913) 402-9300,$50 and over,Casual Dining
22588,Biagio's Osteria,88 Ryder's Landing,New York / Tri-State Area,Stratford,US,https://www.opentable.com/img/restimages/22588.jpg,http://mobile.opentable.com/opentable/?restId=22588,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",2033759071x,06614,2,http://www.opentable.com/single.aspx?rid=22588,CT,"{""lat""=>41.2434, ""lng""=>-73.10084}",Italian,4.4,596,Stratford,(203) 375-9071,$30 and under,Casual Elegant
76285,Piatto Ristorante (Galleria),4925 West Alabama,Houston,Houston,US,https://www.opentable.com/img/restimages/76285.jpg,http://mobile.opentable.com/opentable/?restId=76285,"[""AMEX"", ""MasterCard"", ""Visa""]",7138719722x,77056,2,http://www.opentable.com/single.aspx?rid=76285,TX,"{""lat""=>29.737921, ""lng""=>-95.460642}",Italian,4.6,312,Galleria / Uptown,(713) 871-9722,$30 and under,Casual Elegant
68347,Cancun,937 8th Avenue,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/68347.jpg,http://mobile.opentable.com/opentable/?restId=68347,"[""AMEX"", ""MasterCard"", ""Visa""]",2123077307,10019,2,http://www.opentable.com/single.aspx?rid=68347,NY,"{""lat""=>40.765839, ""lng""=>-73.983915}",Mexican,4.0,111,Midtown West,(212) 307-7307,$30 and under,Casual Dining
145747,Prime 47 - Carmel,14300 Clay Terrace Blvd,Indiana,Carmel,US,https://www.opentable.com/img/restimages/145747.jpg,http://mobile.opentable.com/opentable/?restId=145747,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",3176600720x,46032,3,http://www.opentable.com/single.aspx?rid=145747,IN,"{""lat""=>39.996188, ""lng""=>-86.130198}",Steakhouse,4.2,229,Carmel / Westfield,(317) 660-0720,$31 to $50,Fine Dining
49399,Cabezon Restaurant and Fish Market,5200 NE Sacramento,Portland / Oregon,Portland,US,https://www.opentable.com/img/restimages/49399.jpg,http://mobile.opentable.com/opentable/?restId=49399,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",5032846617,97213,2,http://www.opentable.com/single.aspx?rid=49399,OR,"{""lat""=>45.539994, ""lng""=>-122.60991}",Seafood,4.6,672,NE Portland,(503) 284-6617,$30 and under,Casual Dining
37393,Grove Steakhouse at Viejas Casino,5000 Willows Road,San Diego,Alpine,US,https://www.opentable.com/img/restimages/37393.jpg,http://mobile.opentable.com/opentable/?restId=37393,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",6194455400x,91901,3,http://www.opentable.com/single.aspx?rid=37393,CA,"{""lat""=>32.842293, ""lng""=>-116.694878}",Steakhouse,4.6,585,Alpine,(619) 445-5400,$31 to $50,Casual Elegant
43627,Pascalou,1308 Madison Avenue,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/43627.jpg,http://mobile.opentable.com/opentable/?restId=43627,"[""AMEX"", ""MasterCard"", ""Visa""]",2125347522,10128,2,http://www.opentable.com/single.aspx?rid=43627,NY,"{""lat""=>40.785136, ""lng""=>-73.95576}",Contemporary French,4.3,561,Upper East Side,(212) 534-7522,$30 and under,Casual Elegant
111058,Ichabod's Lounge,3300 E Flamingo,Las Vegas,Las Vegas,US,https://www.opentable.com/img/restimages/111058.jpg,http://mobile.opentable.com/opentable/?restId=111058,"[""AMEX"", ""MasterCard"", ""Visa""]",7024512323,89121,2,http://www.opentable.com/single.aspx?rid=111058,NV,"{""lat""=>36.116765, ""lng""=>-115.102953}",American,4.6,35,Paradise,(702) 451-2323,$30 and under,Casual Dining
110128,Mignon's Steak and Seafood,154 Howard Ave,Mississippi,Biloxi,US,https://www.opentable.com/img/restimages/110128.jpg,http://mobile.opentable.com/opentable/?restId=110128,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",2283862023,39530,4,http://www.opentable.com/single.aspx?rid=110128,MS,"{""lat""=>30.396536, ""lng""=>-88.86042}",Steakhouse,4.7,137,Biloxi,(228) 386-2023,$50 and over,Casual Elegant
48289,La Rambla Restaurant & Bar,238 NE Third Street,Portland / Oregon,McMinnville,US,https://www.opentable.com/img/restimages/48289.jpg,http://mobile.opentable.com/opentable/?restId=48289,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",5034352126,97128,2,http://www.opentable.com/single.aspx?rid=48289,OR,"{""lat""=>45.209854, ""lng""=>-123.197155}",Spanish,4.5,276,McMinnville,(503) 435-2126,$30 and under,Casual Elegant
11080,Indigo Crow,4515 Corrales Road,New Mexico,Corrales,US,https://www.opentable.com/img/restimages/11080.jpg,http://mobile.opentable.com/opentable/?restId=11080,"[""AMEX"", ""Discover"", ""MasterCard"", ""Pay with OpenTable"", ""Visa""]",5058987000,87048,2,http://www.opentable.com/single.aspx?rid=11080,NM,"{""lat""=>35.225276, ""lng""=>-106.614321}",Contemporary American,4.5,787,Albuquerque,(505) 898-7000,$30 and under,Casual Elegant
65758,Left Bank,117 Perry Street,New York / Tri-State Area,New York,US,https://www.opentable.com/img/restimages/65758.jpg,http://mobile.opentable.com/opentable/?restId=65758,"[""AMEX"", ""Carte Blanche"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",2127271170x,10014,3,http://www.opentable.com/single.aspx?rid=65758,NY,"{""lat""=>40.735127, ""lng""=>-74.00673}",American,4.4,364,West Village,(212) 727-1170,$31 to $50,Casual Dining
150856,State & Allen Kitchen + Bar,2400 Allen Street,Dallas - Fort Worth,Dallas,US,https://www.opentable.com/img/restimages/150856.jpg,http://mobile.opentable.com/opentable/?restId=150856,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",2142391990,75204,2,http://www.opentable.com/single.aspx?rid=150856,TX,"{""lat""=>32.797987, ""lng""=>-96.798145}",Contemporary American,4.2,42,Uptown,(214) 239-1990,$30 and under,Casual Dining
26815,Upstream Brewing Company- Legacy,17070 Wright Plz.,Nebraska,Omaha,US,https://www.opentable.com/img/restimages/26815.jpg,http://mobile.opentable.com/opentable/?restId=26815,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",4027780100x,68130,2,http://www.opentable.com/single.aspx?rid=26815,NE,"{""lat""=>41.233215, ""lng""=>-96.18154}",Contemporary American,4.1,182,West Omaha,(402) 778-0100,$30 and under,Casual Dining
33505,La Bussola Ristorante,40 School Street,New York / Tri-State Area,Glen Cove,US,https://www.opentable.com/img/restimages/33505.jpg,http://mobile.opentable.com/opentable/?restId=33505,"[""MasterCard"", ""Visa""]",5166712100,11542,3,http://www.opentable.com/single.aspx?rid=33505,NY,"{""lat""=>40.865414, ""lng""=>-73.630943}",Italian,4.6,151,Glen Cove,(516) 671-2100,$31 to $50,Casual Dining
22981,Ristorante Cavour at the Hotel Granduca,1080 Uptown Park Blvd.,Houston,Houston,US,https://www.opentable.com/img/restimages/22981.jpg,http://mobile.opentable.com/opentable/?restId=22981,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",7134181000x,77056,3,http://www.opentable.com/single.aspx?rid=22981,TX,"{""lat""=>29.757795, ""lng""=>-95.458269}",Italian,4.5,484,Galleria / Uptown,(713) 418-1104,$31 to $50,Fine Dining
144688,Prime 47 - Indianapolis,47 S Pennsylvania St,Indiana,Indianapolis,US,https://www.opentable.com/img/restimages/144688.jpg,http://mobile.opentable.com/opentable/?restId=144688,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",3176240720,46204,4,http://www.opentable.com/single.aspx?rid=144688,IN,"{""lat""=>39.765822, ""lng""=>-86.155982}",Steak,4.5,192,Downtown Indy,(317) 624-0720,$50 and over,Fine Dining
18946,Bloomington Chop House,3900 American Blvd West,Minneapolis - St. Paul,Bloomington,US,https://www.opentable.com/img/restimages/18946.jpg,http://mobile.opentable.com/opentable/?restId=18946,"[""AMEX"", ""Diners Club"", ""Discover"", ""MasterCard"", ""Visa""]",9528939500x,55431,3,http://www.opentable.com/single.aspx?rid=18946,MN,"{""lat""=>44.855716, ""lng""=>-93.328954}",Steak,4.3,754,Bloomington,(952) 893-9500,$31 to $50,Fine Dining
17935,"Kai Sushi - The Ritz-Carlton, Kapalua",One Ritz-Carlton Drive,Hawaii,Lahaina,US,https://www.opentable.com/img/restimages/17935.jpg,http://mobile.opentable.com/opentable/?restId=17935,"[""AMEX"", ""Diners Club"", ""Discover"", ""JCB"", ""MasterCard"", ""Visa""]",8086657089x,96761,2,http://www.opentable.com/single.aspx?rid=17935,HI,"{""lat""=>21.000735, ""lng""=>-156.654013}",Sushi,4.2,176,Kapalua,(808) 665-7089,$30 and under,Casual Dining
82279,Wild Note Cafe,143 S. Cedros Ave.,San Diego,Solana Beach,US,https://www.opentable.com/img/restimages/82279.jpg,http://mobile.opentable.com/opentable/?restId=82279,"[""AMEX"", ""Discover"", ""MasterCard"", ""Visa""]",8587209000,92075,2,http://www.opentable.com/single.aspx?rid=82279,CA,"{""lat""=>32.990709, ""lng""=>-117.270413}",Californian,4.7,77,Solana Beach,(858) 720-9000,$30 and under,Casual Dining
113719,Taberna Tapas,325 West Main Street,Raleigh / Durham / Chapel Hill,Durham,US,https://www.opentable.com/img/restimages/113719.jpg,http://mobile.opentable.com/opentable/?restId=113719,"[""MasterCard"", ""Visa""]",9197971457,27701,2,http://www.opentable.com/single.aspx?rid=113719,NC,"{""lat""=>35.996213, ""lng""=>-78.902802}",Tapas / Small Plates,4.5,316,Durham,(919) 797-1457,$30 and under,Casual Dining
